UID_key,liwc_Present,liwc_Motion,
60455-6525030231877560063,0.0555556,0,
16618-666778652316300543,0.0643564,0.019802,
16432-1145969155139279504,0,0,
71055-6525030231877560063,0.0333333,0,
21048-6525030231877560063,0.0526316,0,
79845-6525030231877560063,0,0,
31515-2062537961599298253,0.047619,0.047619,
12550-1145969155139279504,0.0833333,0.0333333,
13506-1145969155139279504,0.0666667,0,
49699-2062537961599298253,0.333333,0,
5679-6525030231877560063,0,0,
80902-6525030231877560063,0,0,
14347-1145969155139279504,0.0304878,0,
37980-2062537961599298253,0,0,
41587-6525030231877560063,0.0555556,0,
31649-6525030231877560063,0.0322581,0.016129,
1644-6525030231877560063,0.0444444,0.0148148,
36221-6525030231877560063,0,0,
48279-6525030231877560063,0.0310078,0.00775194,
4948-666778652316300543,0,0,
50274-2062537961599298253,0.0384615,0,
45195-6525030231877560063,0,0,
17635-2062537961599298253,0.027451,0.00784314,
37613-2062537961599298253,0,0,
13867-666778652316300543,0.0192308,0.0192308,
60264-6525030231877560063,0,0,
